datetime,open,high,low,close,volume,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2025-12-24T07:04:00-05:00,622.02,622.02,622.0,622.0,790.0,621.99,622.02,621.98,622.01,622.02,622.03,622.0,622.03
2025-12-24T07:05:00-05:00,621.97,621.97,621.97,621.97,515.0,622.01,622.01,621.95,621.97,622.03,622.03,621.98,621.98
2025-12-24T07:06:00-05:00,621.98,621.98,621.97,621.98,715.0,621.97,622.01,621.96,622.0,621.98,622.02,621.97,622.02
2025-12-24T07:07:00-05:00,622.02,622.05,622.02,622.05,523.0,622.0,622.04,622.0,622.03,622.02,622.07,622.02,622.05
2025-12-24T07:08:00-05:00,622.06,622.06,622.06,622.06,40.0,622.03,622.06,622.01,622.01,622.05,622.09,622.03,622.04
2025-12-24T07:09:00-05:00,622.05,622.07,622.05,622.07,689.0,622.01,622.06,622.01,622.05,622.04,622.09,622.04,622.08
2025-12-24T07:10:00-05:00,622.08,622.08,622.08,622.08,377.0,622.05,622.07,622.03,622.06,622.08,622.09,622.05,622.08
2025-12-24T07:11:00-05:00,622.07,622.07,622.06,622.06,500.0,622.06,622.07,622.04,622.07,622.08,622.1,622.07,622.1
2025-12-24T07:12:00-05:00,622.09,622.16,622.09,622.14,774.0,622.07,622.15,622.06,622.12,622.1,622.18,622.09,622.15
2025-12-24T07:13:00-05:00,622.14,622.19,622.14,622.18,1296.0,622.12,622.18,622.11,622.16,622.15,622.2,622.14,622.18
2025-12-24T07:14:00-05:00,622.18,622.19,622.17,622.17,275.0,622.16,622.18,622.15,622.16,622.18,622.2,622.17,622.19
2025-12-24T07:15:00-05:00,622.19,622.2,622.19,622.2,700.0,622.16,622.21,622.16,622.2,622.19,622.23,622.19,622.23
2025-12-24T07:16:00-05:00,622.23,622.23,622.23,622.23,40.0,622.2,622.24,622.18,622.21,622.23,622.25,622.21,622.24
2025-12-24T07:17:00-05:00,622.23,622.32,622.23,622.32,1118.0,622.21,622.33,622.2,622.32,622.24,622.35,622.22,622.35
2025-12-24T07:18:00-05:00,622.29,622.33,622.28,622.33,1532.0,622.32,622.33,622.28,622.32,622.35,622.35,622.31,622.34
